0 1955
100 499
200 299
300 343
400 206
500 208
600 145
700 108
800 124
900 140
1000 148
1100 130
1200 96
1300 102
1400 75
1500 101
1600 98
1700 76
1800 90
1900 82
2000 73
2100 71
2200 76
2300 65
2400 79
2500 78
2600 55
2700 56
2800 44
2900 4416
